win = 542, tie = 80, loss = 63
win = 543, tie = 80, loss = 63
win = 543, tie = 80, loss = 64
win = 544, tie = 80, loss = 64
win = 545, tie = 80, loss = 64
win = 546, tie = 80, loss = 64
win = 547, tie = 80, loss = 64
win = 547, tie = 81, loss = 64
win = 548, tie = 81, loss = 64
win = 549, tie = 81, loss = 64
win = 550, tie = 81, loss = 64
win = 551, tie = 81, loss = 64
win = 552, tie = 81, loss = 64
win = 553, tie = 81, loss = 64
win = 553, tie = 82, loss = 64
win = 554, tie = 82, loss = 64
win = 555, tie = 82, loss = 64
win = 556, tie = 82, loss = 64
win = 556, tie = 82, loss = 65
win = 556, tie = 83, loss = 65
win = 557, tie = 83, loss = 65
win = 558, tie = 83, loss = 65
win = 559, tie = 83, loss = 65
win = 559, tie = 84, loss = 65
win = 560, tie = 84, loss = 65
win = 561, tie = 84, loss = 65
win = 562, tie = 84, loss = 65
win = 563, tie = 84, loss = 65
win = 564, tie = 84, loss = 65
win = 565, tie = 84, loss = 65
win = 566, tie = 84, loss = 65
win = 567, tie = 84, loss = 65
win = 567, tie = 85, loss = 65
win = 568, tie = 85, loss = 65
win = 568, tie = 86, loss = 65
win = 569, tie = 86, loss = 65
win = 570, tie = 86, loss = 65
win = 571, tie = 86, loss = 65
win = 572, tie = 86, loss = 65
win = 573, tie = 86, loss = 65
win = 573, tie = 86, loss = 66
win = 574, tie = 86, loss = 66
win = 575, tie = 86, loss = 66
win = 575, tie = 86, loss = 67
win = 576, tie = 86, loss = 67
win = 577, tie = 86, loss = 67
win = 577, tie = 86, loss = 68
win = 578, tie = 86, loss = 68
win = 579, tie = 86, loss = 68
win = 580, tie = 86, loss = 68
win = 581, tie = 86, loss = 68
win = 582, tie = 86, loss = 68
win = 583, tie = 86, loss = 68
win = 583, tie = 86, loss = 69
win = 583, tie = 87, loss = 69
win = 584, tie = 87, loss = 69
win = 585, tie = 87, loss = 69
win = 586, tie = 87, loss = 69
win = 587, tie = 87, loss = 69
win = 588, tie = 87, loss = 69
win = 589, tie = 87, loss = 69
win = 590, tie = 87, loss = 69
win = 591, tie = 87, loss = 69
win = 592, tie = 87, loss = 69
win = 593, tie = 87, loss = 69
win = 593, tie = 87, loss = 70
win = 594, tie = 87, loss = 70
win = 594, tie = 87, loss = 71
win = 595, tie = 87, loss = 71
win = 596, tie = 87, loss = 71
win = 597, tie = 87, loss = 71
win = 598, tie = 87, loss = 71
win = 599, tie = 87, loss = 71
win = 600, tie = 87, loss = 71
win = 600, tie = 88, loss = 71
win = 601, tie = 88, loss = 71
win = 602, tie = 88, loss = 71
win = 603, tie = 88, loss = 71
win = 603, tie = 89, loss = 71
win = 604, tie = 89, loss = 71
win = 605, tie = 89, loss = 71
win = 606, tie = 89, loss = 71
win = 606, tie = 90, loss = 71
win = 607, tie = 90, loss = 71
win = 608, tie = 90, loss = 71
win = 609, tie = 90, loss = 71
win = 609, tie = 91, loss = 71
win = 610, tie = 91, loss = 71
win = 611, tie = 91, loss = 71
win = 612, tie = 91, loss = 71
win = 613, tie = 91, loss = 71
win = 614, tie = 91, loss = 71
win = 614, tie = 92, loss = 71
win = 615, tie = 92, loss = 71
win = 616, tie = 92, loss = 71
win = 616, tie = 93, loss = 71
win = 617, tie = 93, loss = 71
win = 618, tie = 93, loss = 71
win = 619, tie = 93, loss = 71
win = 620, tie = 93, loss = 71
win = 621, tie = 93, loss = 71
win = 622, tie = 93, loss = 71
win = 623, tie = 93, loss = 71
win = 623, tie = 93, loss = 72
win = 624, tie = 93, loss = 72
win = 625, tie = 93, loss = 72
win = 626, tie = 93, loss = 72
win = 627, tie = 93, loss = 72
win = 627, tie = 94, loss = 72
win = 628, tie = 94, loss = 72
win = 629, tie = 94, loss = 72
win = 630, tie = 94, loss = 72
win = 631, tie = 94, loss = 72
win = 632, tie = 94, loss = 72
win = 633, tie = 94, loss = 72
win = 633, tie = 94, loss = 73
win = 634, tie = 94, loss = 73
win = 635, tie = 94, loss = 73
win = 636, tie = 94, loss = 73
win = 637, tie = 94, loss = 73
win = 638, tie = 94, loss = 73
win = 639, tie = 94, loss = 73
win = 639, tie = 94, loss = 74
win = 640, tie = 94, loss = 74
win = 640, tie = 95, loss = 74
win = 641, tie = 95, loss = 74
win = 641, tie = 96, loss = 74
win = 642, tie = 96, loss = 74
win = 643, tie = 96, loss = 74
win = 644, tie = 96, loss = 74
win = 645, tie = 96, loss = 74
win = 646, tie = 96, loss = 74
win = 647, tie = 96, loss = 74
win = 648, tie = 96, loss = 74
win = 649, tie = 96, loss = 74
win = 650, tie = 96, loss = 74
win = 651, tie = 96, loss = 74
win = 652, tie = 96, loss = 74
win = 653, tie = 96, loss = 74
